Producto,Precio,Supermercado,Categoria,IMG,Pagina
0,0,0,0,0,0
LOMITOS DE TILAPIA 454 G,$ 6.990,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004553.png,https://domicilios.tiendasd1.com/p/lomitos-de-tilapia-454-g-12004553
LOMITOS DE SALMON 454 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004645.png,https://domicilios.tiendasd1.com/p/lomitos-de-salmon-454-g-12004645
FILETES DE MERLUZA RIVERPEZ 400 G,$ 10.990,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004764.png,https://domicilios.tiendasd1.com/p/filetes-de-merluza-riverpez-400-g-12004764
TRUCHA ARCOIRIS CAPTAIN BAY X 800 GR,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003683.png,https://domicilios.tiendasd1.com/p/trucha-arcoiris-captain-bay-x-800-gr-12003683
CAZUELA DE MARISCOS CAPTAIN BAY 400 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002525.png,https://domicilios.tiendasd1.com/p/cazuela-de-mariscos-captain-bay-400-g-12002525
POSTAS DE BAGRE CAPTAIN BAY 400 G,$ 9.190,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001954.png,https://domicilios.tiendasd1.com/p/postas-de-bagre-captain-bay-400-g-12001954
FILETES DE TILAPIA CAPTAIN BAY 400 G,$ 14.850,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001958.png,https://domicilios.tiendasd1.com/p/filetes-de-tilapia-captain-bay-400-g-12001958
CAMARÓN PRECOCIDO CAPTAIN BAY 400 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001961.png,https://domicilios.tiendasd1.com/p/camaron-precocido-captain-bay-400-g-12001961
FILETES DE SALMÓN CAPTAIN BAY 350 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001957.png,https://domicilios.tiendasd1.com/p/filetes-de-salmon-captain-bay-350-g-12001957
MIXTURA DE MARISCOS 500 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000978.png,https://domicilios.tiendasd1.com/p/mixtura-de-mariscos-500-g-12000978
MOJARRAS ENTERAS CAPTAIN BAY 1000 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001939.png,https://domicilios.tiendasd1.com/p/mojarras-enteras-captain-bay-1000-g-12001939
